timestamp;maquina;tipo_maquina;modo_operacion;temperatura [ºC;vibracion [mm/s];presion [bar];rpm_motor [rpm];horas_funcionamiento [h];dias_desde_mantenimiento [días
01/01/2025 0:00;MCH_01;bomba;intermitente;72.59;1.56;26.24;1600.64;1;2
01/01/2025 1:00;MCH_01;bomba;intermitente;74.21;1.14;27.67;1538.46;1;3
01/01/2025 2:00;MCH_01;bomba;intermitente;78.3;1.32;29.25;1472.36;2;4
01/01/2025 3:00;MCH_01;bomba;intermitente;68.92;1.59;30.33;1508.67;3;5
01/01/2025 4:00;MCH_01;bomba;intermitente;74.62;1.64;30.48;1278.39;3;6
01/01/2025 5:00;MCH_01;bomba;intermitente;73.77;1.44;26.8;1560.13;3;7
01/01/2025 6:00;MCH_01;bomba;intermitente;76.12;0.93;25.36;1588.21;3;8
01/01/2025 7:00;MCH_01;bomba;intermitente;75.18;1.52;30.41;1327.08;4;9
01/01/2025 8:00;MCH_01;bomba;intermitente;81.12;1.56;29.28;1530.78;5;10
01/01/2025 9:00;MCH_01;bomba;intermitente;74.88;1.11;28.02;1523.42;6;11
01/01/2025 10:00;MCH_01;bomba;intermitente;77.79;1.62;32.66;1447.4;6;12
01/01/2025 11:00;MCH_01;bomba;intermitente;78.41;0.91;29.16;1437.23;6;13
01/01/2025 12:00;MCH_01;bomba;intermitente;71.19;1.16;24.95;1236.66;6;14
01/01/2025 13:00;MCH_01;bomba;intermitente;68.41;1.38;29.95;1386.82;6;15
01/01/2025 14:00;MCH_01;bomba;intermitente;73.42;1.98;30.83;1608.85;7;16
01/01/2025 15:00;MCH_01;bomba;intermitente;75.54;1.25;28.78;1452.95;7;17
01/01/2025 16:00;MCH_01;bomba;intermitente;78.14;1.7;30.39;1395.4;7;18
01/01/2025 17:00;MCH_01;bomba;intermitente;71.24;1.17;30.37;1505.32;7;19
01/01/2025 18:00;MCH_01;bomba;intermitente;75.26;1.39;24.91;1413.44;7;20
01/01/2025 19:00;MCH_01;bomba;intermitente;79.93;1.64;26.94;1539.92;7;21
01/01/2025 20:00;MCH_01;bomba;intermitente;80.73;1.53;28.22;1505.58;7;22
01/01/2025 21:00;MCH_01;bomba;intermitente;75.44;1.71;26.25;1495.91;8;23
01/01/2025 22:00;MCH_01;bomba;intermitente;70.97;1.16;24.94;1427.29;9;24
01/01/2025 23:00;MCH_01;bomba;intermitente;77.76;1.44;28.55;1169.18;10;25
02/01/2025 0:00;MCH_01;bomba;intermitente;74.53;1.31;25.98;1339.29;11;26
02/01/2025 1:00;MCH_01;bomba;intermitente;71.97;1.26;24.4;1462.38;12;27
02/01/2025 2:00;MCH_01;bomba;intermitente;75.31;1.3;23.57;1447.37;13;28
02/01/2025 3:00;MCH_01;bomba;intermitente;74.62;1.46;27.45;1620.99;14;29
02/01/2025 4:00;MCH_01;bomba;intermitente;77.0;1.66;26.13;1417.4;15;30
02/01/2025 5:00;MCH_01;bomba;intermitente;78.55;1.79;27.15;1469.36;16;31
02/01/2025 6:00;MCH_01;bomba;intermitente;73.33;1.58;24.98;1449.56;16;32
02/01/2025 7:00;MCH_01;bomba;intermitente;76.84;1.94;27.83;1599.85;17;33
02/01/2025 8:00;MCH_01;bomba;intermitente;74.64;1.26;25.68;1449.49;18;34
02/01/2025 9:00;MCH_01;bomba;intermitente;72.53;1.4;30.58;1328.98;18;35
02/01/2025 10:00;MCH_01;bomba;intermitente;75.74;1.79;30.96;1426.51;19;36
02/01/2025 11:00;MCH_01;bomba;intermitente;73.8;1.4;27.93;1458.46;20;37
02/01/2025 12:00;MCH_01;bomba;intermitente;75.22;1.67;28.1;1485.04;21;38
02/01/2025 13:00;MCH_01;bomba;intermitente;73.32;1.89;24.4;1476.81;21;39
02/01/2025 14:00;MCH_01;bomba;intermitente;69.96;1.08;29.97;1314.2;22;40
02/01/2025 15:00;MCH_01;bomba;intermitente;75.53;2.03;29.46;1284.71;22;41
02/01/2025 16:00;MCH_01;bomba;intermitente;76.41;1.14;27.26;1548.75;23;42
02/01/2025 17:00;MCH_01;bomba;intermitente;78.34;1.61;28.34;1328.4;24;43
02/01/2025 18:00;MCH_01;bomba;intermitente;77.57;2.07;24.14;1564.88;25;44
02/01/2025 19:00;MCH_01;bomba;intermitente;75.17;1.42;27.91;1344.85;26;45
02/01/2025 20:00;MCH_01;bomba;intermitente;70.66;1.32;27.23;1328.95;27;46
